states: location[$x],states: location[$y]
-4.078027029873382,-4.530033599472915
-4.078027029873382,-4.530033599472915
-3.793201693089269,-3.873608074920866
-3.052749288157534,-3.117208596039151
-2.754452111327063,-2.852739241643284
-2.2552441080290366,-2.6066911416918686
-1.3381853802926638,-2.9820978279090173
-2.2403810229264485,-2.5339255765612387
-1.6678548956784924,-1.905675429473106
-1.4036954803920043,-1.6404032878324493
-5.0,-4.57909202878841
-4.376165330451274,-4.4922867430401805
-4.4537909965435585,-4.052677390462825
-3.8162370460088293,-4.090955848843233
-4.783609219535327,-4.090955848843233
-4.180086639991471,-3.5023689341144166
-3.552290564523742,-2.633698769460983
-4.100186767524002,-1.6239871483809252
-3.38314429588861,-1.9238859086381561
-2.607781850196043,-0.9565100345508509
-4.528504778840676,-4.512365502978908
-4.177875256920394,-3.8286752778308286
-3.560505850989941,-3.6903668832919774
-3.4842328675313863,-3.1386402820704657
-3.8564237717846153,-3.2913624914071957
-3.8564237717846153,-3.1455813511095334
-3.3125111278233774,-3.208303699673959
-3.3125111278233774,-2.514667123127054
-2.4273569099348755,-1.9591092559602303
-1.9237816403024453,-1.0224887311840067
-4.6912084727329795,-4.344159115993736
-4.180680227612251,-3.847932867224898
-3.8006379395589254,-3.421564391141003
-3.048578337842118,-2.9674973990726614
-2.5268594872658445,-2.5842909591295484
-2.3245330013977594,-3.04976701987782
-1.7765848152786101,-2.041590316951267
-1.1108364032236109,-1.8396808126837865
-0.5475546286594416,-2.372233516719445
-0.02968438199853829,-1.7429536120598512
-5.0,-5.0
-5.0,-4.569547803716392
-4.3641475974267125,-3.559550419563007
-3.5790031224094467,-2.9869014014413926
-3.5790031224094467,-2.29588120696726
-3.5790031224094467,-2.2689641430072234
-3.3838304682332225,-2.2689641430072234
-2.9610338432898553,-1.5777222891030735
-2.9610338432898553,-2.4209774660215726
-2.9610338432898553,-3.270144188279043
-5.0,-5.0
-4.3580116572632415,-5.0
-3.9358212171189626,-4.614191245240909
-2.9258320124094723,-3.920590152204863
-2.8136853971820663,-3.7105682921518057
-2.5247560834217198,-2.9536933631074143
-2.3363914333265505,-3.3766418822777506
-2.0974058388932937,-2.893654681678119
-1.8110228998931126,-2.8223588576765577
-1.2178886686944268,-1.8480199229053302
-4.411953680895744,-4.465861802884654
-3.81994795141053,-3.880324172779421
-3.1468438884328553,-3.15765001891069
-3.1468438884328553,-2.9520095401865833
-3.1468438884328553,-2.038579146507528
-2.9069508557806936,-1.561176773538591
-2.5580371771223973,-0.6699237232040721
-2.008620302260649,-0.46351649303671705
-1.9830563171887166,-0.46351649303671705
-1.6454972937626855,0.24112352988827357
-5.0,-5.0
-5.0,-4.365689609400667
-4.632286451961877,-4.365689609400667
-4.494888687776928,-3.946339117003743
-3.7856817535902003,-3.9258489461227013
-4.270920338481701,-3.655166547248329
-3.9873734528123714,-3.519322205400381
-3.3297397008126,-3.1134264944731527
-2.6191127553335884,-2.532358032349656
-2.1130880499369584,-2.477572150493905
-4.804370926438488,-4.603973637494619
-4.17368944274593,-4.603973637494619
-4.17368944274593,-3.8297131917824405
-4.17368944274593,-3.0699425957266095
-3.920342885954429,-2.3263290075669785
-3.854836643321866,-2.0848078490438744
-3.3957194614455295,-2.1700642426605694
-2.988955252879336,-1.62540905845333
-2.5239103294212337,-1.4357200883309533
-2.388489847798397,-1.264870865802844
-5.0,-4.261660144972183
-4.260730821391647,-4.295897148846634
-3.858074940744099,-4.295897148846634
-4.361394428371816,-5.0
-5.0,-4.752437887370605
-4.240299601879096,-4.752437887370605
-4.240299601879096,-4.338012548792865
-4.240299601879096,-4.420385319675356
-4.961182780229878,-4.427110518000895
-4.389713998806756,-4.413322986468955
-5.0,-4.462062065376112
-5.0,-3.942347416166574
-4.891888984887782,-3.34575959180602
-4.155863372070262,-2.9608071215850136
-3.6018339630600926,-2.520205887201416
-2.610643343902814,-2.08248659574497
-2.1370896026377504,-2.7016104098787643
-1.8683926234965555,-1.6936454500822582
-2.5295981478069676,-1.4876175475120186
-1.949126752845856,-1.1911732273857707
-4.710930401946622,-4.863882731282626
-4.378468113808845,-4.749742373239614
-3.7480658132981675,-3.8817820972849892
-2.7381069436299272,-3.1500399832126686
-2.289576246794348,-3.070432472572193
-1.641405283287229,-3.070432472572193
-1.1345360946020948,-2.663595837265436
-0.5633878518640072,-2.116656658655818
-0.017402520712672342,-1.7338986277232642
0.23997748445710942,-1.2048477404280886
-4.827861722672734,-4.130282545165145
-4.721549166951239,-3.5085216412539024
-3.9376591607631917,-3.2793222378830333
-3.5144304422612334,-3.2793222378830333
-2.9146762397746917,-4.076731444717918
-2.46441774254847,-3.0668201770581223
-1.8208358236717652,-3.0668201770581223
-1.0175474787890837,-3.8070889247403947
-0.4976203471182078,-3.314097148685889
-0.690936904017158,-2.4810229126168006
-5.0,-4.54090123463604
-4.276306203133648,-3.5309039533868756
-4.145561648786637,-3.1518320099179276
-3.5098562567234133,-3.1841355713766313
-3.1233739696743594,-2.470658891389329
-2.1140686713899375,-3.326591963736802
-2.046017633053971,-2.9873429058997694
-1.1770318071722152,-3.324610673925874
-0.738839445978009,-2.5920473875653123
0.10422797710737308,-2.0161671037587228
-3.9900014427072645,-3.9900014427072645
-3.423229950287914,-4.618938539891287
-2.8413179975878795,-4.255501726152039
-2.211120602125044,-5.0
-2.0091216885228538,-4.875077029059528
-1.5560461783656614,-4.081191868482885
-1.2663060305857559,-3.828714672261498
-1.755313756347507,-3.4368977284928244
-1.130364187157363,-3.2049803212263357
-1.6559890710369383,-2.24068312817737
-5.0,-5.0
-4.2767473799988425,-4.6438071421789555
-3.8984041203811217,-4.6438071421789555
-3.329192351742448,-4.6438071421789555
-2.7020207957673597,-3.7621473258767546
-2.2123365316201724,-3.2516335560847236
-1.7935303786812087,-2.5112631955058093
